арифмометр,зат
ария,зат
арка,неизвестно
аркагай,сын
аркай,этиш
аркак,зат
аркала,этиш
аркалат,этиш формасы
аркалоо,этиш формасы
аркан,зат
аркан,неизвестно
арканда,этиш
аркандал,этиш формасы
аркандат,этиш формасы
аркандаш,этиш формасы
аркандоо,этиш формасы
аркар,зат
аркаюу,этиш формасы
арктика,зат
аркы,сын
аркыл,неизвестно
аркылуу,жанд
аркыра,этиш
аркырат,этиш формасы
аркыроо,этиш формасы
арман,зат
арманда,сын
армандуу,сын
армансыз,сын
арматура,зат
армия,зат
армиялык,сын
арна,этиш
арнал,этиш формасы
арноо,этиш формасы
арпа,зат
арпакан,зат
арпалыш,этиш
арпалышуу,этиш формасы
арс,неизвестно
арсагай,сын
арсай,этиш
арсайт,этиш формасы
арсак,сын
арсакта,этиш
арсактоо,этиш формасы
арсактуу,сын
арсаңда,неизвестно
арсар,сын
арсарсуу,этиш формасы
арсарсы,этиш
арсаюу,этиш формасы
арсенал,зат
арстан,зат
арсыз,сын
арсыздык,зат
арсылда,этиш
арсылдоо,этиш формасы
арт,неизвестно
артелдеш,этиш
артелдештир,этиш формасы
артелдешүү,этиш формасы
артель,зат
артерия,зат
артиллерист,зат
артиллерия,зат
артиллериялык,сын
артист,зат
артистка,зат
артисттик,сын
арткы,сын
арттыр,этиш формасы
артуу,неизвестно
артык,сын
артыкча,такт
артыкчылык,зат
артыл,этиш формасы
артын,этиш формасы
артынчак,зат
артыш,этиш формасы
аруу,этиш формасы
аруула,неизвестно
аруулоо,этиш формасы
аруурка,этиш
арууркоо,этиш формасы
архаизм,зат
археолог,зат
археология,зат
архив,зат
архипелаг,зат
архитектор,зат
архитектура,зат
арча,зат
арчында,этиш
арчындал,этиш формасы
арчындан,этиш формасы
арчындат,этиш формасы
арчындаш,этиш формасы
арчындоо,этиш формасы
ары,неизвестно
арыз,зат
арыздан,этиш
арыздант,этиш формасы
арыздануу,этиш формасы
арыздаш,этиш
арыздашуу,этиш формасы
арызчы,сын
арык,неизвестно
арыкта,этиш
арыктат,этиш формасы
арыктоо,этиш формасы
арыл,этиш
арыла,этиш
арылат,этиш формасы
арылда,этиш
арылдат,этиш формасы
арылдоо,этиш формасы
арылоо,этиш формасы
арылт,этиш формасы
арылуу,этиш формасы
арым,зат
арымда,этиш
арымдат,этиш формасы
арымдоо,этиш формасы
арымдуу,сын
арымсыз,сын
арыстан,неизвестно
арыт,этиш формасы
арытадан,неизвестно
арытан,такт
арыш,зат
арышта,этиш
арыштат,этиш формасы
арыштоо,этиш формасы
арьергард,зат
ас,этиш
аса,зат
асаба,зат
асал,неизвестно
асан,неизвестно
асбап,неизвестно
асбест,зат
